case,angle_deg,alignment,seed,volatility,bound_fd,bound_chain,bound_jv,terminal_risk,initial_risk,max_risk,mean_gain,mean_hazard
aligned,0.0,1.0,0,0.0001233997040791933,0.001446574028542117,0.0001644681001709871,0.12326297534827088,0.11137380450963974,0.09128659218549728,0.1270626336336136,1.4780916353551352,1.1976519245561088
aligned,0.0,1.0,1,0.0003015923173478844,0.003483236060951125,0.0003461410053894528,0.12952683726068787,0.14362257719039917,0.08875446021556854,0.14807553589344025,1.5530037094907063,1.258479863929948
aligned,0.0,1.0,2,0.00014209025361204826,0.0027057164973799783,0.00017755219194004856,0.12505475238042124,0.12519709765911102,0.09832356870174408,0.14025546610355377,1.5003963011067087,1.2150720193771964
aligned,0.0,1.0,3,0.00028942625021751117,0.0024528966925478606,0.00038290542805908466,0.14298885363092648,0.1348448395729065,0.09060324728488922,0.14425209164619446,1.71879169708345,1.389313680174459
aligned,0.0,1.0,4,0.00018546626099178243,0.002875931783539386,0.00020622029104493778,0.12562641252162293,0.1297403872013092,0.0831029936671257,0.1381469964981079,1.4976620412454373,1.2204646549235987
aligned,0.0,1.0,5,0.00014316561038049715,0.002903695302788188,0.00015544062290059386,0.12244549430352367,0.13696511089801788,0.09947594255208969,0.13696511089801788,1.471290614546799,1.1898701908806633
aligned,0.0,1.0,6,0.00025143118041403336,0.004691725690657681,0.00025213232187456364,0.13447018943913522,0.1535169929265976,0.10283997654914856,0.1535169929265976,1.6128679281327782,1.3065637298411517
aligned,0.0,1.0,7,5.6425222413490866e-05,0.0031565984700689174,8.012342109264237e-05,0.14612996809712983,0.11927127838134766,0.10000087320804596,0.11927127838134766,1.7541196840565378,1.4198940449737423
aligned,0.0,1.0,8,0.00015794712398993193,0.00197608794347585,0.00019950951405190605,0.12278576811611988,0.12928833067417145,0.09902066737413406,0.1390528380870819,1.471592094840073,1.1930723026737116
aligned,0.0,1.0,9,0.00024604460940980995,0.0025809154879932366,0.0003042557091464041,0.132834663849309,0.13992749154567719,0.09337226301431656,0.1435205638408661,1.5921495077086658,1.290710832817305
aligned,0.0,1.0,10,0.00018588679898580548,0.0025554062823267064,0.00022374333006265084,0.1338267473253384,0.13435760140419006,0.09605631232261658,0.1453525424003601,1.6043295802139654,1.3002130411686879
aligned,0.0,1.0,11,0.00019458409103460654,0.002721459656333995,0.00022328296473361387,0.13185893511223354,0.12704168260097504,0.09137102961540222,0.13012519478797913,1.5821257131855662,1.2810549633101387
aligned,0.0,1.0,12,0.00016473569146329827,0.002059840004219236,0.00020469883174144344,0.11519479102220992,0.1385604292154312,0.09961562603712082,0.1385604292154312,1.379866855900462,1.1194729821033942
aligned,0.0,1.0,13,0.0001634916051125207,0.0023864720746559795,0.00018349513834433609,0.13004236184244938,0.1233515590429306,0.09437353163957596,0.13177233934402466,1.5633965120082949,1.2635805011368777
aligned,0.0,1.0,14,0.00029400838050219205,0.004154320379334458,0.00035104497639483907,0.14284128595299003,0.13607382774353027,0.09481481462717056,0.15033596754074097,1.7091638460391905,1.387631921442995
aligned,0.0,1.0,15,0.00027726569476272707,0.0030221798511060544,0.00030664035752851797,0.14032645290431933,0.1274152547121048,0.09221253544092178,0.14935433864593506,1.6851592529110793,1.3633872620631433
aligned,0.0,1.0,16,0.00011582820360511171,0.0014148431160870875,0.00014679311967281342,0.1324963663831026,0.1256280094385147,0.09003716707229614,0.1256280094385147,1.5920533814081332,1.2876029839949235
aligned,0.0,1.0,17,0.0001951530042066748,0.004195623447083858,0.0002287802492106504,0.12625912916943594,0.13919200003147125,0.09944064170122147,0.14486026763916016,1.515244646770198,1.226720715940769
aligned,0.0,1.0,18,0.00013470470595900737,0.002165081421469305,0.00013720828940580427,0.13922928246578642,0.10459309816360474,0.08218078315258026,0.12587577104568481,1.6703609053681536,1.3527604011691505
aligned,0.0,1.0,19,0.00019007046599355256,0.0033539319574664925,0.00023620181249566012,0.1375018835972391,0.13351397216320038,0.08707743883132935,0.13528400659561157,1.6557114473203334,1.3361386851545412
rotated20,20.0,0.9396926164627075,0,0.00019468936425304348,0.0011923468029772929,0.0002765984639759732,0.13065424010708962,0.13996122777462006,0.107638880610466,0.15227611362934113,1.561952951477795,1.2693385361290888
rotated20,20.0,0.9396926164627075,1,0.0004147972622373693,0.002104781185955255,0.000524251626460476,0.13679961645719269,0.166021928191185,0.10283719003200531,0.17033283412456512,1.6374360293876835,1.3289389115663566
rotated20,20.0,0.9396926164627075,2,0.0002353061593340408,0.0012910406714676814,0.0003299056916690326,0.12711398556882636,0.14559531211853027,0.1055118590593338,0.15485136210918427,1.521419932202595,1.2349451542642658
rotated20,20.0,0.9396926164627075,3,0.0003334012979294358,0.001954700603796884,0.0004594215154551289,0.1499904558094626,0.15528015792369843,0.10669641196727753,0.16858740150928497,1.7943721108320283,1.4571373930823321
rotated20,20.0,0.9396926164627075,4,0.00020370287707985137,0.0018249654931940201,0.0002598828681059273,0.12493871646693935,0.1457442194223404,0.09849001467227936,0.15501299500465393,1.4942570197873,1.2138519926825582
rotated20,20.0,0.9396926164627075,5,0.00018831347925859875,0.002101871635116482,0.00023206520808095602,0.1272866383676327,0.15828442573547363,0.11028362065553665,0.15828442573547363,1.5309999367085898,1.2367782630831898
rotated20,20.0,0.9396926164627075,6,0.00033365185784168383,0.0029860794873417455,0.00041690759279869376,0.14749581309127574,0.1727592647075653,0.11452116817235947,0.1727592647075653,1.771551233966176,1.433027895256008
rotated20,20.0,0.9396926164627075,7,0.0001222683162609794,0.001955225284801466,0.00020492735938155388,0.14003130193486268,0.14649124443531036,0.10830409824848175,0.14649124443531036,1.6741566919698947,1.3603774555546695
rotated20,20.0,0.9396926164627075,8,0.0002202800647023132,0.0014992436654231768,0.00030397721640937185,0.12554464409573826,0.14923618733882904,0.10901452600955963,0.1526041477918625,1.5058217862757242,1.2198182373803357
rotated20,20.0,0.9396926164627075,9,0.00032457571796013884,0.0017805561039805273,0.00042888648383143766,0.13433355300995983,0.15864378213882446,0.10558245331048965,0.16075043380260468,1.6073880224693111,1.3051950482350851
rotated20,20.0,0.9396926164627075,10,0.0002839589603985288,0.0016966064752796366,0.0004034744981834299,0.14988712804246368,0.15618713200092316,0.10944687575101852,0.16544310748577118,1.7963494992837674,1.4561506596810438
rotated20,20.0,0.9396926164627075,11,0.0003283986955291932,0.0020999815796525763,0.00041022440987712534,0.13639767040208836,0.15708504617214203,0.10265166312456131,0.15771424770355225,1.6313941682257302,1.3250937923170434
rotated20,20.0,0.9396926164627075,12,0.00024164507418975346,0.001489721119510914,0.0003282461748219818,0.13153303856477866,0.1573745757341385,0.10838887095451355,0.1573745757341385,1.5734500129048417,1.2778349253140178
rotated20,20.0,0.9396926164627075,13,0.00026172664074498186,0.0017371939780386645,0.0003155828525390501,0.12486454817187488,0.15105010569095612,0.10804300010204315,0.1526246815919876,1.4955498997758074,1.2133018621251632
rotated20,20.0,0.9396926164627075,14,0.0003927395888003278,0.002772243856326202,0.0005273162277408842,0.15867332499013906,0.16435611248016357,0.10816255956888199,0.17104722559452057,1.9037111474246513,1.5414860650896123
rotated20,20.0,0.9396926164627075,15,0.0002761185788794088,0.002079165900204756,0.00034575085214204717,0.13413522968982428,0.14749683439731598,0.10862802714109421,0.16445377469062805,1.6036520265951388,1.303031166489358
rotated20,20.0,0.9396926164627075,16,0.00018685865121143296,0.0011638415396614933,0.0002525569996281248,0.1271606734495417,0.1515086591243744,0.10463990271091461,0.1515086591243744,1.5196803633759661,1.2354344268261312
rotated20,20.0,0.9396926164627075,17,0.00028987745413977463,0.002984653224214879,0.0003685657626072586,0.12043932210984544,0.16169169545173645,0.10952375829219818,0.16356980800628662,1.4445030805541248,1.1702017308314534
rotated20,20.0,0.9396926164627075,18,0.0002185419172754818,0.0013905246429015716,0.0002508731007305294,0.11676857410766098,0.13692304491996765,0.10330095887184143,0.14900551736354828,1.3986390480181066,1.1344753275065156
rotated20,20.0,0.9396926164627075,19,0.000260766003932146,0.0018805665130766267,0.0003493573442096133,0.13858223374479864,0.15548348426818848,0.10247977823019028,0.15548348426818848,1.669002041584108,1.346627987934025
wrong,90.0,6.123234262925839e-17,0,0.004556042287250497,0.014921222173883985,0.007341383799509417,2.0637095522930697,0.22236181795597076,0.02639123424887657,0.2412572205066681,25.21709321184856,20.06470879957018
