t,lambda,seed,model,risk,error,gain,speed,shift,hazard,rprime
0.0,0.03,0,dtr,0.09128659218549728,0.01806640625,1.5237231254577637,0.5500195759294482,0.0,0.4609590571609329,-0.004548243447417111
0.025,0.03,0,dtr,0.09000802040100098,0.01806640625,1.4989951848983765,0.5500957557541805,0.013751211781421413,0.4536039483321794,-0.0005851237000334562
0.05,0.03,0,dtr,0.09814059734344482,0.0234375,1.5046719312667847,0.5504133524926879,0.027506695847084747,0.4558476721796879,-0.0052068351373916535
0.07500000000000001,0.03,0,dtr,0.09075590968132019,0.01806640625,1.492422103881836,0.5515746695537964,0.04127862401377594,0.4540464658237644,-0.005055804537543989
0.1,0.03,0,dtr,0.09693913161754608,0.0234375,1.542240023612976,0.5552938482726756,0.05510609368750584,0.4755516513102479,-0.002715027742021032
0.125,0.03,0,dtr,0.08878487348556519,0.02001953125,1.5222396850585938,0.5657060414356064,0.06909791729953778,0.48715220594156433,-0.0011094455840016581
0.15000000000000002,0.03,0,dtr,0.086992546916008,0.01708984375,1.515696406364441,0.5911220898539365,0.08351489374738605,0.5296227095669331,-0.00276391030067888
0.17500000000000002,0.03,0,dtr,0.08971988409757614,0.021484375,1.5049922466278076,0.6450160137468808,0.09889034407745922,0.6261454895179885,0.0010321661639299034
0.2,0.03,0,dtr,0.08746165782213211,0.01953125,1.475945234298706,0.7437455001926387,0.11614055498429304,0.8164299826765921,0.004997711356837229
0.225,0.03,0,dtr,0.0887884646654129,0.01708984375,1.5164310932159424,0.8986419426118937,0.13655060040346464,1.2246050614794561,0.007092481863948961
0.25,0.03,0,dtr,0.0931105688214302,0.02294921875,1.5447402000427246,1.103657045245201,0.16149825385783378,1.881584507944124,0.00557171947031788
0.275,0.03,0,dtr,0.09218887984752655,0.0205078125,1.512649655342102,1.3259169126718917,0.19188419191553718,2.6593222871265367,0.023170787801218586
0.30000000000000004,0.03,0,dtr,0.08855707198381424,0.01904296875,1.498364806175232,1.5096277445347932,0.227473594943615,3.4147373232410714,0.02597919081625599
0.325,0.03,0,dtr,0.09509202092885971,0.0205078125,1.5106723308563232,1.5973782785174415,0.26655791981001314,3.8546577517536154,0.0320493515422014
0.35000000000000003,0.03,0,dtr,0.08934631943702698,0.01953125,1.4959861040115356,1.5588289111128772,0.3062768498642214,3.635167804362094,0.0400840035280623
0.375,0.03,0,dtr,0.09423713386058807,0.021484375,1.5073223114013672,1.407520806793591,0.34354889621519036,2.9861785719806253,0.04483195872348134
0.4,0.03,0,dtr,0.0999080017209053,0.02197265625,1.5114445686340332,1.1932577150975578,0.3761254908891271,2.1520914709430596,0.0339734743689568
0.42500000000000004,0.03,0,dtr,0.09078337997198105,0.0205078125,1.478452444076538,0.9758322484984031,0.4031905319711957,1.407854236343716,0.033284186058949596
0.45,0.03,0,dtr,0.09125499427318573,0.025390625,1.492202639579773,0.7987743724860363,0.4252617134011038,0.9520857154839893,0.03061545046077278
0.47500000000000003,0.03,0,dtr,0.08706781268119812,0.0166015625,1.4755940437316895,0.6782605111113583,0.4436068433132383,0.678828330663079,0.027205516402971145
0.5,0.03,0,dtr,0.10003482550382614,0.025390625,1.4747743606567383,0.6083744243172243,0.45959922841076556,0.5458426607334814,0.02598650842121413
0.525,0.03,0,dtr,0.09522926062345505,0.0205078125,1.4844679832458496,0.5735648056407101,0.4743174651489809,0.48835520955483475,0.023953494359827663
0.55,0.03,0,dtr,0.09962959587574005,0.02099609375,1.4861701726913452,0.5590653651368842,0.48844494375786507,0.4645085547579268,0.023769587851330123
0.5750000000000001,0.03,0,dtr,0.10082019865512848,0.02490234375,1.4684653282165527,0.5561656605849407,0.5023651100691133,0.4542260507129408,0.025413902506051623
0.6000000000000001,0.03,0,dtr,0.0960971862077713,0.02099609375,1.4815576076507568,0.5644531736219449,0.516343605088373,0.47203519541438416,0.022570011920513174
0.625,0.03,0,dtr,0.10036458820104599,0.02587890625,1.5052361488342285,0.5936595177351285,0.5307590670687033,0.5304928189281617,0.02921268272737205
0.65,0.03,0,dtr,0.11037764698266983,0.03125,1.4736640453338623,0.6632705623340598,0.5463628139696421,0.6483058386678489,0.039479343081617504
0.675,0.03,0,dtr,0.10103961825370789,0.02685546875,1.4564210176467896,0.7925471876256265,0.5644262966271208,0.9148232552112288,0.042150155602060396
